CatID,OrgID,Type
29,8670,Discharge
29,8680,Discharge
29,8690,Discharge
29,8700,Discharge
29,8710,Discharge
29,8720,Discharge
29,8730,Discharge
29,8740,Discharge
29,8750,Discharge
29,8760,Discharge
29,8770,Discharge
29,8780,Discharge
29,8790,Discharge
29,8800,Discharge
29,8810,Discharge
29,8820,Discharge
29,8830,Discharge
29,8840,Discharge
29,8850,Discharge
29,8860,Discharge
29,8870,Discharge
29,8880,Discharge
29,8890,Discharge
29,8900,Discharge
29,8910,Discharge
29,8920,Discharge
29,8930,Discharge
29,8940,Discharge
29,8950,Discharge
29,8960,Discharge
29,8970,Discharge
29,8980,Discharge
29,8990,Discharge
29,9000,Discharge
29,9010,Discharge
29,9020,Discharge
30,9030,Discharge
30,9040,Discharge
30,9050,Discharge
30,9060,Discharge
31,9070,Discharge
31,9080,Discharge
31,9090,Discharge
31,9100,Discharge
31,9110,Discharge
31,9120,Discharge
33,9130,Discharge
33,9140,Discharge
33,9150,Discharge
34,9160,Discharge
34,9170,Discharge
34,9180,Discharge
34,9190,Discharge
34,9200,Discharge
34,9210,Discharge
34,9220,Discharge
34,9230,Discharge
34,9240,Discharge
34,9250,Discharge
35,9260,Discharge
35,9270,Discharge
35,9280,Discharge
35,9290,Discharge
35,9300,Discharge
35,9310,Discharge
41,9320,Discharge
35,9330,Discharge
35,9340,Discharge
35,9350,Discharge
35,9360,Discharge
35,9370,Discharge
35,9380,Discharge
35,9390,Discharge
35,9400,Discharge
35,9410,Discharge
37,9420,Discharge
37,9430,Discharge
37,9440,Discharge
37,9450,Discharge
37,9460,Discharge
37,9470,Discharge
37,9480,Discharge
37,9490,Discharge
37,9500,Discharge
37,9510,Discharge
37,9520,Discharge
37,9530,Discharge
37,9540,Discharge
37,9550,Discharge
37,9560,Discharge
37,9570,Discharge
38,9580,Discharge
38,9590,Discharge
38,9600,Discharge
38,9610,Discharge
38,9620,Discharge
38,9630,Discharge
38,9640,Discharge
38,9650,Discharge
38,9660,Discharge
38,9670,Discharge
38,9680,Discharge
38,9690,Discharge
38,9700,Discharge
38,9710,Discharge
38,9720,Discharge
38,9730,Discharge
38,9740,Discharge
38,9750,Discharge
38,9760,Discharge
38,9770,Discharge
38,9780,Discharge
38,9790,Discharge
38,9800,Discharge
38,9810,Discharge
38,9820,Discharge
38,9830,Discharge
38,9840,Discharge
38,9850,Discharge
38,9860,Discharge
38,9870,Discharge
38,9880,Discharge
38,9890,Discharge
38,9900,Discharge
38,9910,Discharge
38,9920,Discharge
38,9930,Discharge
38,9940,Discharge
38,9950,Discharge
38,9960,Discharge
38,9970,Discharge
38,9980,Discharge
38,9990,Discharge
38,10000,Discharge
38,10010,Discharge
38,10020,Discharge
38,10030,Discharge
38,10040,Discharge
38,10050,Discharge
39,10060,Discharge
39,10070,Discharge
39,10080,Discharge
39,10090,Discharge
39,10100,Discharge
39,10110,Discharge
39,10120,Discharge
39,10130,Discharge
39,10140,Discharge
39,10150,Discharge
39,10160,Discharge
39,10170,Discharge
39,10180,Discharge
35,10190,Discharge
39,10200,Discharge
35,10210,Discharge
39,10220,Discharge
35,10230,Discharge
40,10240,Discharge
40,10250,Discharge
40,10260,Discharge
41,10270,Discharge
41,10280,Discharge
41,10290,Discharge
41,10300,Discharge
41,10310,Discharge
42,10320,Discharge
42,10330,Discharge
42,10340,Discharge
44,10350,Discharge
35,10360,Discharge
44,10370,Discharge
35,10380,Discharge
44,10390,Discharge
44,10400,Discharge
45,10410,Discharge
45,10420,Discharge
45,10430,Discharge
45,10440,Discharge
45,10450,Discharge
45,10460,Discharge
45,10470,Discharge
45,10480,Discharge
45,10490,Discharge
46,10500,Discharge
46,10510,Discharge
46,10520,Discharge
47,10530,Discharge
47,10540,Discharge
47,10550,Discharge
47,10560,Discharge
47,10570,Discharge
47,10580,Discharge
47,10590,Discharge
47,10600,Discharge
48,10610,Discharge
48,10620,Discharge
48,10630,Discharge
48,10640,Discharge
48,10650,Discharge
50,10660,Discharge
50,10670,Discharge
50,10680,Discharge
50,10690,Discharge
50,10700,Discharge
50,10710,Discharge
51,10720,Discharge
51,10730,Discharge
